label,avg_score,category,dominant_attitude,dominant_emotion
neutral,0.6742323560906989,other,no,yes
approval,0.09202343382863114,respect,yes,no
curiosity,0.07313288775231877,other,no,no
disapproval,0.04882767915105223,contempt,no,no
confusion,0.039892197147135613,other,no,no
realization,0.03488742661021669,other,no,no
annoyance,0.033918461169275785,contempt,no,no
disappointment,0.015269207485291697,other,no,no
sadness,0.01444619512134839,other,no,no
optimism,0.01397979081205814,other,no,no
admiration,0.012225127121989789,respect,no,no
anger,0.007155506174637438,other,no,no
desire,0.0053407313858035025,other,no,no
disgust,0.005306515026131354,contempt,no,no
caring,0.005254074833337979,respect,no,no
surprise,0.004463417766875673,other,no,no
gratitude,0.0042471178991394356,other,no,no
joy,0.0038715634014769495,other,no,no
love,0.0037718628074073462,other,no,no
excitement,0.0030739983824966594,other,no,no
amusement,0.002030059447377453,other,no,no
pride,0.0019671641975877057,other,no,no
embarrassment,0.0015394070156021615,other,no,no
fear,0.001321416398350452,other,no,no
relief,0.0011312560584155551,other,no,no
grief,0.0007799263133088607,other,no,no
nervousness,0.0007711127682132266,other,no,no
remorse,0.0007335032357850953,other,no,no
